seed,generation,fitness,population_mean_gap,population_median_gap,wall_seconds
1103,1,0.24798877989342522,0.6834848682838289,0.5515752560100826,146.37331914901733
1103,2,0.1426788860933073,0.4624548459688096,0.4913702415121207,258.98406863212585
1103,3,0.16665281219856581,0.38996816178447574,0.31103158442931933,401.8803141117096
1103,4,0.12758555772802715,0.32765010781687975,0.23377413022744042,492.59459471702576
1103,5,0.18904414363786204,0.28781738081320307,0.21929964452585687,540.4022424221039
1103,6,0.16917834296773793,0.3018722597796312,0.19844386780551032,494.42745304107666
1103,7,0.24928903340561415,0.34631056077634564,0.26682067478152327,503.0819661617279
1103,8,0.22355111286014723,0.32395774407134054,0.24309114031637324,504.55664920806885
1103,9,0.16202764867973146,0.2484278080272869,0.16202764867973146,541.0192954540253
1103,10,0.21081288931324438,0.2477711400910316,0.21081288931324438,569.7871696949005
1103,11,0.17147375273199594,0.25438938801880573,0.17147375273199594,580.8066425323486
1103,12,0.19232554755380382,0.26263748556966465,0.19232554755380382,593.1167507171631
1103,13,0.2052004165132501,0.273874806335252,0.2052004165132501,589.3130974769592
1103,14,0.2624894308646153,0.326046667483063,0.2624894308646153,585.5793755054474
1103,15,0.22182765859482118,0.3007116123411643,0.22182765859482118,573.7452301979065
1103,16,0.21738218124403297,0.34071850176653773,0.2990142362367276,596.2855660915375
1103,17,0.23673998386857242,0.3701923670869399,0.3187224874963687,577.8004548549652
2207,1,0.2690910076536296,0.713699756936354,0.5698487043891642,116.40046739578247
2207,2,0.1426788860933073,0.5133760932827256,0.4913702415121207,205.3172688484192
2207,3,0.24470443057207913,0.4490451434005333,0.34483106006818615,363.8864064216614
2207,4,0.14195986820505074,0.29144967382223075,0.19778515478756364,487.7608332633972
2207,5,0.2027054708533843,0.2811993617704956,0.21929964452585687,577.2090220451355
2207,6,0.187131985403656,0.25711335950416125,0.187131985403656,540.6022524833679
2207,7,0.23122992989625252,0.30639268145865084,0.26682067478152327,606.2657744884491
2207,8,0.232413081019954,0.3254598047051649,0.24309114031637324,557.1507570743561
2207,9,0.16202764867973146,0.2530068821295781,0.16202764867973146,581.2974681854248
2207,10,0.21081288931324438,0.25769650518989257,0.21081288931324438,559.9445915222168
2207,11,0.17147375273199594,0.26047135691184936,0.17147375273199594,581.9642565250397
2207,12,0.19232554755380382,0.26094623265037575,0.19232554755380382,631.8467581272125
2207,13,0.2052004165132501,0.268263671387558,0.2052004165132501,650.6760668754578
2207,14,0.2624894308646153,0.3286234672539693,0.2624894308646153,597.894800901413
2207,15,0.22182765859482118,0.3157326536134497,0.22182765859482118,587.0003600120544
2207,16,0.2990142362367276,0.33832332599838927,0.2990142362367276,633.5325074195862
3313,1,0.17336734201530007,0.703335024416812,0.5517007415307738,136.14672994613647
3313,2,0.1426788860933073,0.5002744473353536,0.4913702415121207,227.73869013786316
3313,3,0.24146934162737332,0.4218699160328958,0.33785075568713785,365.4312901496887
3313,4,0.14195986820505074,0.3411147926454624,0.2225344017518463,460.53717732429504
3313,5,0.18303175105661013,0.2609221407033145,0.21929964452585687,590.8232824802399
3313,6,0.1748259185237383,0.2697782661813003,0.187131985403656,554.2842853069305
3313,7,0.24406728205945832,0.32455884137510266,0.26682067478152327,599.0103657245636
3313,8,0.22825721304478297,0.3016554713150363,0.24309114031637324,540.4344592094421
3313,9,0.16202764867973146,0.23929763744266613,0.16202764867973146,509.3010296821594
3313,10,0.19736627017244435,0.24496285449406124,0.21081288931324438,617.4069602489471
3313,11,0.17064011067321333,0.24697544028471113,0.17147375273199594,523.6378581523895
3313,12,0.1806118549459182,0.27869932780001405,0.19232554755380382,574.9501180648804
3313,13,0.18462792471900802,0.2656007837558641,0.2052004165132501,590.2864713668823
3313,14,0.15165925767775534,0.3087969384815954,0.2624894308646153,572.0111169815063
3313,15,0.1601171615309524,0.25347382852959005,0.22182765859482118,504.4138925075531
3313,16,0.20983570451805905,0.34423633381911434,0.3022846841514312,389.0939636230469
3313,17,0.23211829680068186,0.37063621638226896,0.3187224874963687,452.9422242641449
3313,18,0.14525520676240827,0.22423004384969342,0.1928815789240021,493.076238155365
